
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

From,To,Assignment Name,Value,Enabled
,GPIO_0[0],Location,PIN_A13,No
,GPIO_0[1],Location,PIN_B13,No
,GPIO_0[2],Location,PIN_A14,No
,GPIO_0[3],Location,PIN_B14,No
,GPIO_0[4],Location,PIN_A15,No
,GPIO_0[5],Location,PIN_B15,No
,GPIO_0[6],Location,PIN_A16,No
,GPIO_0[7],Location,PIN_B16,No
,GPIO_0[8],Location,PIN_A17,No
,GPIO_0[9],Location,PIN_B17,No
,GPIO_0[10],Location,PIN_A18,No
,GPIO_0[11],Location,PIN_B18,No
,GPIO_0[12],Location,PIN_A19,No
,GPIO_0[13],Location,PIN_B19,No
,GPIO_0[14],Location,PIN_A20,No
,GPIO_0[15],Location,PIN_B20,No
,GPIO_0[16],Location,PIN_C21,No
,GPIO_0[17],Location,PIN_C22,No
,GPIO_0[18],Location,PIN_D21,No
,GPIO_0[19],Location,PIN_D22,No
,GPIO_0[20],Location,PIN_E21,No
,GPIO_0[21],Location,PIN_E22,No
,GPIO_0[22],Location,PIN_F21,No
,GPIO_0[23],Location,PIN_F22,No
,GPIO_0[24],Location,PIN_G21,No
,GPIO_0[25],Location,PIN_G22,No
,GPIO_0[26],Location,PIN_J21,No
,GPIO_0[27],Location,PIN_J22,No
,GPIO_0[28],Location,PIN_K21,No
,GPIO_0[29],Location,PIN_K22,No
,GPIO_0[30],Location,PIN_J19,No
,GPIO_0[31],Location,PIN_J20,No
,GPIO_0[32],Location,PIN_J18,No
,GPIO_0[33],Location,PIN_K20,No
,GPIO_0[34],Location,PIN_L19,No
,GPIO_0[35],Location,PIN_L18,No
,GPIO_1[0],Location,PIN_H12,No
,GPIO_1[1],Location,PIN_H13,No
,GPIO_1[2],Location,PIN_H14,No
,GPIO_1[3],Location,PIN_G15,No
,GPIO_1[4],Location,PIN_E14,No
,GPIO_1[5],Location,PIN_E15,No
,GPIO_1[6],Location,PIN_F15,No
,GPIO_1[7],Location,PIN_G16,No
,GPIO_1[8],Location,PIN_F12,No
,GPIO_1[9],Location,PIN_F13,No
,GPIO_1[10],Location,PIN_C14,No
,GPIO_1[11],Location,PIN_D14,No
,GPIO_1[12],Location,PIN_D15,No
,GPIO_1[13],Location,PIN_D16,No
,GPIO_1[14],Location,PIN_C17,No
,GPIO_1[15],Location,PIN_C18,No
,GPIO_1[16],Location,PIN_C19,No
,GPIO_1[17],Location,PIN_C20,No
,GPIO_1[18],Location,PIN_D19,No
,GPIO_1[19],Location,PIN_D20,No
,GPIO_1[20],Location,PIN_E20,No
,GPIO_1[21],Location,PIN_F20,No
,GPIO_1[22],Location,PIN_E19,No
,GPIO_1[23],Location,PIN_E18,No
,GPIO_1[24],Location,PIN_G20,No
,GPIO_1[25],Location,PIN_G18,No
,GPIO_1[26],Location,PIN_G17,No
,GPIO_1[27],Location,PIN_H17,No
,GPIO_1[28],Location,PIN_J15,No
,GPIO_1[29],Location,PIN_H18,No
,GPIO_1[30],Location,PIN_N22,No
,GPIO_1[31],Location,PIN_N21,No
,GPIO_1[32],Location,PIN_P15,No
,GPIO_1[33],Location,PIN_N15,No
,GPIO_1[34],Location,PIN_P17,No
